Label (Grouping),"Anchorage, AK Metro Area!!Estimate","Anchorage, AK Metro Area!!Margin of Error","Colorado Springs, CO Metro Area!!Estimate","Colorado Springs, CO Metro Area!!Margin of Error","Houston-Pasadena-The Woodlands, TX Metro Area!!Estimate","Houston-Pasadena-The Woodlands, TX Metro Area!!Margin of Error","Kansas City, MO-KS Metro Area!!Estimate","Kansas City, MO-KS Metro Area!!Margin of Error","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Margin of Error","New York-Newark-Jersey City, NY-NJ Metro Area!!Estimate","New York-Newark-Jersey City, NY-NJ Metro Area!!Margin of Error","Omaha, NE-IA Metro Area!!Estimate","Omaha, NE-IA Metro Area!!Margin of Error","Orlando-Kissimmee-Sanford, FL Metro Area!!Estimate","Orlando-Kissimmee-Sanford, FL Metro Area!!Margin of Error","Tucson, AZ Metro Area!!Estimate","Tucson, AZ Metro Area!!Margin of Error","Tulsa, OK Metro Area!!Estimate","Tulsa, OK Metro Area!!Margin of Error"
        Renter-occupied,"49,243","±3,626","101,967","±4,334","1,054,152","±14,670","306,896","±6,518","2,353,096","±16,608","3,664,613","±25,873","134,671","±4,189","403,582","±10,995","153,164","±5,400","145,846","±3,308"
        Average household size of owner-occupied unit,2.8,±0.08,2.5,±0.03,2.93,±0.02,2.62,±0.03,2.96,±0.02,2.78,±0.01,2.66,±0.04,2.67,±0.03,2.45,±0.04,2.67,±0.03
        Average household size of renter-occupied unit,2.27,±0.11,2.19,±0.07,2.38,±0.02,2.03,±0.04,2.58,±0.01,2.3,±0.01,1.98,±0.06,2.42,±0.04,2.07,±0.06,2.18,±0.04
YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,,,,,,,,,,,,,,
    Occupied housing units,"148,995","±3,367","311,530","±3,322","2,731,843","±8,601","906,504","±4,974","4,542,998","±10,740","7,490,498","±17,819","397,769","±3,139","1,073,662","±8,238","445,471","±3,708","411,320","±2,226"
        Moved in 2021 or later,"47,979","±4,071","112,647","±5,216","896,271","±16,071","253,458","±6,176","1,056,858","±16,905","1,658,540","±24,418","113,976","±5,112","348,136","±9,640","138,668","±5,427","117,930","±3,304"
        Moved in 2018 to 2020,"28,196","±2,902","62,151","±3,737","533,672","±15,047","177,526","±6,878","787,217","±13,130","1,245,401","±19,377","75,034","±4,456","242,547","±9,340","85,386","±5,305","83,352","±2,917"
        Moved in 2010 to 2017,"32,377","±3,102","60,778","±3,775","590,194","±15,359","201,897","±6,704","1,098,304","±14,999","1,666,248","±23,707","88,764","±3,395","225,183","±7,757","95,765","±5,146","93,423","±3,157"
        Moved in 2000 to 2009,"20,974","±1,889","37,806","±2,725","408,379","±10,530","131,231","±5,043","723,548","±12,094","1,244,299","±20,570","60,973","±3,763","143,954","±6,737","64,780","±3,808","56,874","±2,687"
        Moved in 1990 to 1999,"10,435","±1,303","23,724","±2,076","174,634","±7,473","76,559","±3,595","461,575","±11,511","822,216","±16,357","29,920","±2,464","71,671","±4,696","35,288","±2,986","30,186","±2,071"
        Moved in 1989 and earlier,"9,034","±1,442","14,424","±1,404","128,693","±5,902","65,833","±3,209","415,496","±9,435","853,794","±15,498","29,102","±1,919","42,171","±3,683","25,584","±2,243","29,555","±1,760"
VEHICLES AVAILABLE,,,,,,,,,,,,,,,,,,,,
    Occupied housing units,"148,995","±3,367","311,530","±3,322","2,731,843","±8,601","906,504","±4,974","4,542,998","±10,740","7,490,498","±17,819","397,769","±3,139","1,073,662","±8,238","445,471","±3,708","411,320","±2,226"
        No vehicles available,"7,568","±1,320","12,849","±1,915","158,102","±9,001","45,266","±3,900","364,537","±8,184","2,359,850","±26,208","21,676","±2,323","51,612","±6,316","33,440","±3,749","26,303","±1,990"
        1 vehicle available,"48,444","±4,305","93,283","±4,522","905,653","±14,560","299,082","±8,235","1,520,196","±20,807","2,445,205","±24,627","127,057","±4,552","389,953","±10,703","157,874","±6,617","134,720","±3,417"
